#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,
x,raw_y,data-bg,sum_components,bg,sum_fit,bg_poly_,g1,g2
532.5,38122,878.11663034372,872.626837580545,37243.8833696563,38116.5102072368,37243.8833696563,810.151490208166,62.4753473723748
531.5,37245,20.6504888702184,178.227028955793,37224.3495111298,37402.5765400856,37224.3495111298,155.836765985138,22.3902629706541
530.5,36968,-238.145734103397,27.1119262345892,37206.1457341034,37233.257660338,37206.1457341034,20.0885648836636,7.02336135092625
529.5,37046,-143.349238047376,3.66367679291579,37189.3492380474,37193.0129148403,37189.3492380474,1.73541437593869,1.92826241697575
528.5,37145,-29.0315847434104,0.563833451429673,37174.0315847434,37174.5954181948,37174.0315847434,0.100469158077882,0.463364293352635
527.5,37046,-114.258698387071,0.101355244441947,37160.2586983871,37160.3600536315,37160.2586983871,0.00389796224743989,0.097457282195885
526.5,37076,-72.0908654760569,0.0180421290788217,37148.0908654761,37148.1089076051,37148.0908654761,0.000101348607898179,0.0179407804689476
525.5,37160,22.4172651022673,0.00289247024920769,37137.5827348977,37137.585627368,37137.5827348977,1.7659290070269E-06,0.00289070432541805
524.5,37104,-24.7833178862929,0.000407683641242329,37128.7833178863,37128.7837255699,37128.7833178863,2.06207276547499E-08,0.000407663019422517
523.5,37028,-93.7359880357981,5.03194241900928E-05,37121.7359880358,37121.7360383552,37121.7359880358,1.61365254021219E-10,5.03192623051119E-05
522.5,36947,-169.478481279686,5.43628993909806E-06,37116.4784812797,37116.478486716,37116.4784812797,8.46235731469511E-13,5.43628877853071E-06
521.5,37293,179.957104058936,5.14053681399673E-07,37113.0428959411,37113.0428964551,37113.0428959411,2.97404808212511E-15,5.14050843242495E-07
520.5,37069,-42.4556926432997,4.25425241701305E-08,37111.4556926433,37111.4556926858,37111.4556926433,7.00454461123068E-18,4.25446482561615E-08
519.5,37091,-20.7376944180578,3.08500602841377E-09,37111.7376944181,37111.7376944211,37111.7376944181,1.10557222402793E-20,3.08190397644414E-09
518.5,37121,7.09591335058212,1.96450855582953E-10,37113.9040866494,37113.9040866496,37113.9040866494,1.16941760089408E-23,1.95401805926041E-10
517.5,37218,100.035582955927,7.27595761418343E-12,37117.9644170441,37117.9644170441,37117.9644170441,8.28948264408003E-27,1.08435964686648E-11
516.5,37144,20.0774043314159,0,37123.9225956686,37123.9225956686,37123.9225956686,3.93786225451392E-30,5.26688002938793E-13
