#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
466.29999999999995,198.9445234479599,466.98999999999995,53.77270128430075,60.26787532994672,145.17182216365916,205.43969749360588,145.17182216365916,4.368776451957791e-28,0.0,7.856161524109951e-117,3.064516140432096e-24,1.0213354675330159e-10,0.0011563836102172849,59.23140428167159,1.0353146645627902
466.20000000000005,158.32427964741782,466.89000000000004,13.152457484234873,78.07179143848938,145.17182216318295,223.24361360167234,145.17182216318295,2.7734297213212415e-27,0.0,1.0226485968408895e-114,1.0414219343606582e-23,3.027514742266476e-10,0.0021086377298731116,76.59161866811813,1.4780641323386523
466.1,271.9861192359258,466.79,126.81429707285932,99.77520537244195,145.17182216306648,244.94702753550843,145.17182216306648,1.7184660122270786e-26,0.0,1.2748137866937224e-112,3.4968986826194746e-23,8.802821987452027e-10,0.0037953762130366895,97.68072980280749,2.0906801925411362
466.0,254.01752186297108,466.69,108.84569970102763,125.8035805796963,145.17182216194345,270.97540274163975,145.17182216194345,1.039276645359005e-25,0.0,1.521848352132735e-110,1.1601947606661426e-22,2.510587560469756e-09,0.00674311400905993,122.86692027967835,2.929917183498348
465.9,270.0414141245883,466.59,124.86959196360877,156.50612060031696,145.17182216097953,301.6779427612965,145.17182216097953,6.1346222835438775e-25,0.0,1.7398039286846127e-108,3.8033848465011187e-22,7.023387427781905e-09,0.011825485682385317,152.4261494074865,4.06814570012473
465.79999999999995,275.1469071301144,466.48999999999995,129.97508497024072,192.11843681502236,145.1718221598737,337.29025897489606,145.1718221598737,3.534361166668546e-24,0.0,1.904730508470014e-106,1.2319729301061966e-21,1.9272394599665755e-08,0.020470586394665827,186.50153633346852,5.596429875886788
465.70000000000005,358.59438777482774,466.39000000000004,213.42256561610506,232.7256048808608,145.17182215872268,377.8974270395835,145.17182215872268,1.987469464364304e-23,0.0,1.9969678401107414e-104,3.942970975340241e-21,5.187313940808336e-08,0.03497795327755188,225.0628312607154,7.627795614994746
465.6,562.1502625942303,466.29,416.9784404373977,278.22923291346603,145.17182215683263,423.4010550702987,145.17182215683263,1.0908284140114307e-22,0.0,2.00499320801469e-102,1.2469169156706573e-20,1.3695162390562008e-07,0.058994471646727296,267.86968763531473,10.300550669552926
465.5,484.19118665532733,466.19,339.0193645021874,328.3225773088219,145.17182215313997,473.49439946196185,145.17182215313997,5.843578172017382e-22,0.0,1.927786979500801e-100,3.8962155430536145e-20,3.546579014726481e-07,0.09821573057256186,314.4429005032817,13.78146072030975
465.4,399.6043657006321,466.09,254.43254355049444,382.4777542740944,145.17182215013767,527.6495764242321,145.17182215013767,3.0553974611577986e-21,0.0,1.7750454661581883e-98,1.2029288865496896e-19,9.008861160194077e-07,0.16140002581919147,364.04782875457386,18.26852459281536
465.29999999999995,585.4084412736211,465.98999999999995,440.23661912573664,439.94861819524397,145.17182214788446,585.1204403431284,145.17182214788446,1.5592760480037644e-20,0.0,1.5651797574992757e-96,3.669682196033837e-19,2.2446464603759344e-06,0.2618056176522285,415.6937795918827,23.993030741062586
465.20000000000005,708.4050914941017,465.89000000000004,563.233269350116,499.7918781989337,145.17182214398582,644.9637003429195,145.17182214398582,7.766846841569536e-20,1.6938012e-316,1.321670709776162e-94,1.1061358733497986e-18,5.485848401558749e-06,0.4191863529041012,468.1521643332473,31.220522026933992
465.1,836.370947734622,465.79,691.1991255956241,560.9075389575282,145.17182213899792,706.0793610965261,145.17182213899792,3.776008068722943e-19,1.17565157512174e-310,1.0687757971184908e-92,3.294428005421106e-18,1.3150959980642482e-05,0.6625034164901727,519.9947684941601,40.250253895917965
465.0,852.8948168564311,465.69,707.7229947235544,622.0978959853078,145.1718221328768,767.2697181181846,145.1718221328768,1.791791719360046e-18,7.207407913689042e-305,8.276643656836633e-91,9.694894480232974e-18,3.092351908008873e-05,1.0335272271088674,569.6516272126119,51.41271062206809
464.9,821.3607171334579,465.59,676.1888950068485,682.1422763983169,145.17182212660936,827.3140985249262,145.17182212660936,8.298671543771309e-18,3.902943218096033e-299,6.137990423025052e-89,2.8190168608770185e-17,7.132440625520287e-05,1.5915069329736147,615.485944024245,65.06475411669194
464.79999999999995,874.9116454190571,465.48999999999995,729.7398232984359,739.8827330363949,145.17182212062116,885.0545551570161,145.17182212062116,3.7514232485552377e-17,1.866886960225756e-293,4.359156464051491e-87,8.099230926889058e-17,0.00016136346820421518,2.4190673533299005,655.8814761586881,81.5820281609087
