#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C-O,TiO2
533.5,945.2322640714392,534.1287,781.9319818806089,905.4150268665305,163.3002821908303,1068.7153090573609,163.3002821908303,905.4150268665306,3.933633368495589e-26
533.4,1161.9178081710215,534.0287,998.6175264864817,1003.3832953924286,163.30028168453984,1166.6835770769685,163.30028168453984,1003.3832953924286,8.504587055503621e-25
533.3,1215.819799703635,533.9286999999999,1052.5195186656865,1105.7407085889108,163.30028103794842,1269.0409896268593,163.30028103794842,1105.7407085889108,1.7103213769562924e-23
533.2,1519.0074331173491,533.8287,1355.707152760893,1211.7331653376525,163.30028035645617,1375.0334456941087,163.30028035645617,1211.7331653376525,3.199391288035471e-22
533.1,1714.5940442764677,533.7287,1551.2937647978138,1320.4682236129438,163.30027947865403,1483.7685030915977,163.30027947865403,1320.4682236129436,5.567011686326267e-21
533.0,1578.2280269654311,533.6287,1414.9277484912188,1430.9227161184713,163.3002784742122,1594.2229945926836,163.3002784742122,1430.9227161184713,9.010358051423045e-20
532.9,1743.885440325248,533.5287,1580.5851627671825,1541.9548795903975,163.30027755806555,1705.255157148463,163.30027755806555,1541.9548795903975,1.356522827879513e-18
532.8,2012.8905474048242,533.4286999999999,1849.5902708701663,1652.3209785513213,163.3002765346579,1815.6212550859793,163.3002765346579,1652.3209785513213,1.899666241489643e-17
532.7,1923.038962341754,533.3287,1759.738687004681,1760.6962201819633,163.30027533707312,1923.9964955190364,163.30027533707312,1760.6962201819633,2.4745295516365626e-16
532.6,2211.3461251688204,533.2287,2048.0458509711543,1865.6995669274327,163.30027419766603,2028.9998411250988,163.30027419766603,1865.6995669274327,2.9982864729742e-15
532.5,2311.9643958653996,533.1287,2148.664122993816,1965.9218668696542,163.30027287158393,2129.222139741238,163.30027287158393,1965.9218668696544,3.37923774346254e-14
532.4,2181.5588392206137,533.0287,2018.2585677402608,2059.956548709412,163.30027148035285,2223.2568201897648,163.30027148035285,2059.9565487094114,3.542660297931613e-13
532.3,2320.1598382453703,532.9286999999999,2156.8595680718126,2146.431978255903,163.3002701735576,2309.7322484294605,163.3002701735576,2146.431978255899,3.4546608184857235e-12
532.2,2452.977949893748,532.8287,2289.677681116728,2224.0444558076165,163.3002687770201,2387.3447245846364,163.3002687770201,2224.044455807585,3.1336209327579834e-11
532.1,2419.875826005531,532.7287,2256.5755587110466,2291.5907565822276,163.30026729448466,2454.891023876712,163.30026729448466,2291.5907565819634,2.6439463968078495e-10
532.0,2228.5942138657083,532.6287,2065.2939480323257,2347.999085409537,163.30026583338238,2511.29935124292,163.30026583338238,2347.999085407462,2.0750280582516045e-09
531.9,2517.390605406412,532.5287,2354.0903409102793,2392.3573358994663,163.30026449613237,2555.657600395599,163.30026449613237,2392.357335884318,1.5148179482677674e-08
