#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1
534.9,396.2249547783258,535.5482,240.10187207023358,164.96285369572809,156.12308270809223,321.0859364038203,156.12308270809223,164.96285369572809
534.8,357.5321582045517,535.4481999999999,201.40907660024172,190.03368491699584,156.12308160431,346.1567665213058,156.12308160431,190.03368491699584
534.7,442.8583676792423,535.3482,286.7352870008387,220.91040238444037,156.1230806784036,377.03348306284397,156.1230806784036,220.91040238444037
534.6,374.19136682912085,535.2482,218.06828746887942,258.947178612712,156.12307936024143,415.0702579729534,156.12307936024143,258.947178612712
534.5,539.5637795159864,535.1482,383.4407011582359,305.7222196975391,156.12307835775047,461.8452980552896,156.12307835775047,305.7222196975392
534.4,570.0160030572433,535.0482,413.8929264622225,363.0334646809273,156.12307659502085,519.1565412759481,156.12307659502085,363.0334646809273
534.3,486.4465779984175,534.9481999999999,330.32350330611916,432.876380340408,156.1230746922984,588.9994550327064,156.1230746922984,432.87638034040793
534.2,656.9125687549131,534.8482,500.78949558115755,517.3990264620927,156.1230731737555,673.5220996358482,156.1230731737555,517.3990264620927
534.1,696.4641548816917,534.7482,540.3410840101336,618.8301543040911,156.1230708715581,774.9532251756492,156.1230708715581,618.8301543040911
534.0,874.1042602816397,534.6482,717.9811918941027,739.3774143558669,156.1230683875369,895.5004827434038,156.1230683875369,739.3774143558669
533.9,1033.881884626172,534.5482,877.7588195392912,881.0948700447932,156.1230650868808,1037.217935131674,156.1230650868808,881.0948700447932
533.8,1260.8171187803573,534.4481999999999,1104.6940577286512,1045.7219298807245,156.12306105170606,1201.8449909324306,156.12306105170606,1045.7219298807245
533.7,1504.9443405097518,534.3482,1348.8212845364715,1234.4993868122879,156.12305597328026,1390.6224427855682,156.12305597328026,1234.4993868122879
533.6,1475.158920002792,534.2482,1319.0358702302224,1447.97221489596,156.12304977256963,1604.0952646685296,156.12304977256963,1447.97221489596
533.5,1883.527796062539,534.1482,1727.4047523537524,1685.792705976036,156.12304370878647,1841.9157496848225,156.12304370878647,1685.792705976036
533.4,1968.0975756246517,534.0482,1811.9745398569735,1946.5409082124424,156.12303576767806,2102.6639439801206,156.12303576767806,1946.5409082124424
533.3,2328.8488515224644,533.9481999999999,2172.725824084673,2227.5815728745797,156.12302743779128,2383.704600312371,156.12302743779128,2227.5815728745797
533.2,2750.9191764531333,533.8482,2594.79615900365,2524.977367299935,156.12301744948357,2681.1003847494185,156.12301744948357,2524.977367299935
533.1,2971.2513207897955,533.7482,2815.128315268932,2833.4765284064933,156.12300552086322,2989.599533927357,156.12300552086322,2833.4765284064933
533.0,3229.7786304687497,533.6482,3073.6556378894024,3146.589182910552,156.12299257934714,3302.7121754898994,156.12299257934714,3146.589182910552
532.9,3609.5660935603028,533.5482,3453.4431151109557,3456.7603090034536,156.1229784493471,3612.8832874528007,156.1229784493471,3456.7603090034536
532.8,3960.651433282539,533.4481999999999,3804.5284707091246,3755.6391572531584,156.12296257341433,3911.762119826573,156.12296257341433,3755.6391572531584
532.7,4261.002274216271,533.3482,4104.879329132775,4034.435615436706,156.12294508349618,4190.558560520202,156.12294508349618,4034.4356154367065
532.6,4582.606600994712,533.2482,4426.483674781886,4284.344493362614,156.12292621282583,4440.46741957544,156.12292621282583,4284.344493362614
532.5,4715.396121842235,533.1482,4559.273215978536,4497.010175908099,156.12290586369826,4653.133081771797,156.12290586369826,4497.010175908099
532.4,4701.233990811414,533.0482,4545.111105907294,4664.997701559428,156.12288490411981,4821.120586463548,156.12288490411981,4664.997701559428
532.3,4950.167543899516,532.9481999999999,4794.044679889869,4782.2330510381,156.12286400964655,4938.355915047747,156.12286400964655,4782.2330510381
532.2,5026.233554748674,532.8482,4870.1107127778805,4844.375919490028,156.12284197079313,5000.498761460821,156.12284197079313,4844.375919490028
532.1,5045.338353687978,532.7482,4889.215534105724,4849.092679071715,156.12281958225424,5005.215498653969,156.12281958225424,4849.092679071715
532.0,4851.371885500268,532.6482,4695.24908839438,4796.205282377015,156.1227971058881,4952.3280794829025,156.1227971058881,4796.205282377015
531.9,4775.295357809122,532.5482,4619.172582287911,4687.702682879553,156.12277552121128,4843.825458400765,156.12277552121128,4687.702682879553
531.8,4663.142114648856,532.4481999999999,4507.019360362588,4527.6137373921,156.1227542862682,4683.736491678368,156.1227542862682,4527.6137373921
531.7,4420.844410436624,532.3482,4264.721676869715,4321.753065529552,156.1227335669083,4477.8757990964605,156.1227335669083,4321.753065529552
531.6,4151.338113907477,532.2482,3995.2153999460547,4077.36251298221,156.1227139614227,4233.485226943632,156.1227139614227,4077.36251298221
531.5,3908.6230549631155,532.1482,3752.5003593682227,3802.6794308880717,156.1226955948929,3958.8021264829645,156.1226955948929,3802.6794308880717
531.4,3727.7353512532045,532.0482,3571.6126729090483,3506.468041879891,156.12267834415601,3662.5907202240473,156.12267834415601,3506.468041879891
531.3,3493.678531554743,531.9481999999999,3337.5558696297594,3197.551296019736,156.12266192498365,3353.67395794472,156.12266192498365,3197.551296019736
531.2,3129.3778435420463,531.8482,2973.255196960245,2884.37792726348,156.12264658180118,3040.5005738452815,156.12264658180118,2884.37792726348
531.1,2659.7372720207313,531.7482,2503.6146391073744,2574.6534784943965,156.12263291335674,2730.7761114077534,156.12263291335674,2574.6534784943965
531.0,2537.8556179925254,531.6482,2381.732996588614,2275.055807225586,156.12262140391158,2431.1784286294974,156.12262140391158,2275.055807225586
530.9,2258.8105611159226,531.5482,2102.6879506611504,1991.0461543335277,156.12261045477237,2147.1687647883,156.12261045477237,1991.0461543335277
530.8,1850.4853576305004,531.4481999999999,1694.3627568420607,1726.7774224954505,156.12260078843985,1882.9000232838903,156.12260078843985,1726.7774224954503
530.7,1611.8964959800405,531.3482,1455.7739029808088,1485.0929043899798,156.12259299923184,1641.2154973892116,156.12259299923184,1485.0929043899798
530.6,1484.1583330292806,531.2482,1328.0357467224323,1267.6021025270386,156.12258630684815,1423.7246888338868,156.12258630684815,1267.6021025270386
530.5,1194.2499528470053,531.1482,1038.1273726453119,1074.8159462316498,156.1225802016935,1230.9385264333432,156.1225802016935,1074.8159462316498
530.4,984.1377828449595,531.0482,828.0152074156738,906.3217511983455,156.1225754292857,1062.4443266276312,156.1225754292857,906.3217511983454
530.3,738.8400046489487,530.9481999999999,582.7174330261576,760.978496228156,156.1225716227911,917.1010678509472,156.1225716227911,760.978496228156
530.2,801.4677769376767,530.8482,645.3452079937142,637.1149966187216,156.12256894396253,793.2375655626842,156.12256894396253,637.1149966187216
530.1,694.0773056114858,530.7482,537.9547396342599,532.7167880173704,156.12256597722592,688.8393539945963,156.12256597722592,532.7167880173704
530.0,632.6180173895627,530.6482,476.49545388538536,445.5914150362919,156.12256350417735,601.7139785404693,156.12256350417735,445.59141503629195
529.9,554.1016802974582,530.5482,397.979118983793,373.50580720075845,156.1225613136652,529.6283685144236,156.1225613136652,373.50580720075845
529.8,473.5205009619958,530.4481999999999,317.3979414778929,314.2930864284789,156.12255948410294,470.4156459125818,156.12255948410294,314.2930864284789
529.7,311.8405849947476,530.3482,155.71802696976465,265.9291864972404,156.12255802498294,422.0517445222233,156.12255802498294,265.9291864972404
529.6,268.0769378554842,530.2482,111.95438054635747,226.58191885514736,156.1225573091267,382.70447616427407,156.1225573091267,226.58191885514736
529.5,442.3664882303756,530.1482,286.2439314359179,194.63656057134568,156.1225567944577,350.7591173658034,156.1225567944577,194.63656057134565
529.4,232.6415964751759,530.0482,76.51904099661914,168.70273772331456,156.12255547855676,324.8252932018713,156.12255547855676,168.70273772331453
529.3,263.8439455568132,529.9481999999999,107.72139043002454,147.6074638979672,156.12255512678865,303.73001902475585,156.12255512678865,147.6074638979672
529.2,274.0631765372673,529.8482,117.940621905688,130.3788321660161,156.12255463157928,286.5013867975954,156.12255463157928,130.37883216601614
529.1,319.3050113899162,529.7482,163.18245730052547,116.22421548693427,156.12255408939075,272.346769576325,156.12255408939075,116.22421548693427
529.0,202.5176869561683,529.6482,46.395133616948726,104.50605226056763,156.12255333921956,260.6286055997872,156.12255333921956,104.50605226056763
528.9,236.69669443814382,529.5482,80.57414131220878,94.71749749273977,156.12255312593504,250.8400506186748,156.12255312593504,94.71749749273977
528.8,158.85790781441938,529.4481999999999,2.735355058894271,86.45948779672207,156.1225527555251,242.58204055224718,156.1225527555251,86.45948779672206
528.7,265.0306690672387,529.3482,108.90811632428841,79.42014886624528,156.1225527429503,235.54270160919557,156.1225527429503,79.42014886624528
