#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,TiC,Ti 2+,Ti 3+,Ti 4+,TiC (2p1/2),Ti 2+ (2p1/2),C_7
461.5,17401,461.9195,3868.17788039018,-9670.90767659277,13532.8221196098,3861.91444301705,6.72003771654243E-52,7.10683307083992E-25,1.35515218939521E-16,402.373691468612,1585.60751066323,1869.26490982864,4.66833105657012
461.4,17433,461.8195,3928.01764568756,-9477.73168309843,13504.9823543124,4027.25067121401,2.73641482256597E-50,6.39746322480808E-24,8.60390072826659E-16,421.407895864725,1816.51805484728,1784.99160170153,4.33311880046846
461.3,17469,461.7195,3992.30064623141,-9304.78703236611,13476.6993537686,4171.91232140248,1.05474812333803E-48,5.54368447883254E-23,5.25240593017836E-15,441.700197711088,2034.28751840907,1691.90319972658,4.02140555574201
461.2,17647,461.6195,4199.55328490472,-9161.96914775114,13447.4467150953,4285.47756734414,3.84832515530178E-47,4.62432376735424E-22,3.0830228780805E-14,463.349987388778,2226.59468541206,1591.80130833884,3.73158620446036
461.1,17752,461.5195,4335.02978961174,-9058.97804958362,13416.9702103883,4357.99216080464,1.32907808466299E-45,3.71327389832224E-21,1.74000615425372E-13,486.46460700071,2381.52671262106,1486.53867897081,3.4621622120501
461,17795,461.4195,4409.25512752034,-9004.63164278918,13385.7448724797,4381.11322969048,4.34494757968038E-44,2.87028326708951E-20,9.4423565041554E-13,511.159724942863,2488.77869121756,1377.96307876372,3.2117347663352
460.9,17632,461.3195,4277.27422362352,-9005.54416905379,13354.7257763765,4349.18160732269,1.34453917528212E-42,2.1357556124943E-19,4.92680728739448E-12,537.559619098788,2540.77814626886,1267.86484361179,2.97899834324429
460.8,17698,461.2195,4374.16802570159,-9063.77624071543,13323.8319742984,4260.05573358298,3.93837280184956E-41,1.52980957969204E-18,2.47176016621731E-11,565.797320656518,2533.56556393589,1157.93011431687,2.76273467367788
460.7,17491,461.1195,4197.7779511628,-9177.65502592227,13293.2220488372,4115.56702291494,1.09197877970934E-39,1.05482938268098E-17,1.1923469780736E-10,596.014554974611,2467.2893272578,1049.70133359494,2.56180708746486
460.6,17199,461.0195,3934.81898649616,-9342.66870198599,13264.1810135038,3921.51231151785,2.86592720916918E-38,7.00141924592208E-17,5.53037466053017E-10,628.361396256299,2346.22965815992,944.546101889362,2.37515521172276
460.5,16844,460.9195,3606.74949323034,-9550.07712465923,13237.2505067697,3687.17338211043,7.11982409158376E-37,4.47351576414012E-16,2.46639155680752E-09,662.99552827298,2178.34107747424,843.634986358487,2.20179000225667
460.4,16619,460.8195,3406.79445475826,-9787.77406180808,13212.2055452417,3424.43148343367,1.67427230424623E-35,2.75150865256618E-15,1.05760883066632E-08,700.080973312859,1974.38133718704,747.92838383535,2.04078908784107
460.3,16507,460.7195,3318.81120523303,-10041.5789470318,13188.188794767,3146.6098477352,3.72679251893541E-34,1.62911527730103E-14,4.36057423209996E-08,739.786115394339,1746.76035460791,658.172085280928,1.8912924084204
460.2,16149,460.6195,2983.31573758589,-10298.4682207106,13165.6842624141,2867.21604170355,7.85228765269735E-33,9.28521090116908E-14,1.7286929950535E-07,782.280801532473,1508.28194104203,574.900800826829,1.75249812934995
460.1,15775,460.5195,2629.35827320959,-10546.8802542885,13145.6417267904,2598.76147250188,1.5660608134421E-31,5.09437313605682E-13,6.58942671972005E-07,827.732257270316,1270.95695715895,498.448598598825,1.623658814843
460,15426,460.4195,2297.95341945079,-10776.2382493613,13128.0465805492,2351.80833118788,2.95646031558439E-30,2.69059761744073E-12,2.41508802992698E-06,876.29950205085,1045.03975170855,428.964997168614,1.50407784478409
459.9,15178,460.3195,2065.53518590516,-10978.1220268619,13112.4648140948,2134.34278723293,5.28306639207905E-29,1.3679359958544E-11,8.51086830801397E-06,928.125900943718,838.388438529789,366.435333188557,1.39310605998003
459.8,14844,460.2195,1745.14289781079,-11147.3469368348,13098.8571021892,1951.51016535443,8.93614570652976E-28,6.69486501354029E-11,2.88383459947842E-05,983.329449915427,656.186549750287,310.703998228487,1.29013862181454
459.7,14816,460.1195,1729.5508289177,-11280.7620901028,13086.4491710823,1805.68708097955,1.43075129874215E-26,3.15411043184164E-10,9.39555410794943E-05,1041.99037551945,501.002807426718,261.499192004437,1.19461207308915
