#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C-O,C=O
536.4,8685,537.0708,144.477159843413,156.967584969721,8540.52284015659,8697.49042512631,8540.52284015659,156.96758496968,4.1763773126232E-11
536.3,8703,536.9708,163.686452432647,165.012576974488,8539.31354756735,8704.32612454184,8539.31354756735,165.012576974367,1.21867838427727E-10
536.2,8770,536.8708,231.940120769312,173.693803798942,8538.05987923069,8711.75368302963,8538.05987923069,173.693803798593,3.49032675372147E-10
536.1,8852,536.7708,315.35896549919,183.080159439449,8536.64103450081,8719.72119394026,8536.64103450081,183.080159438469,9.81139277781526E-10
536,8763,536.6708,227.979966411811,193.25007570715,8535.02003358819,8728.27010929534,8535.02003358819,193.250075704444,2.70696621732257E-09
535.9,8772,536.5708,238.381553906578,204.293129217855,8533.61844609342,8737.91157531128,8533.61844609342,204.293129210525,7.33031449022332E-09
535.8,8664,536.4708,131.805329275061,216.311963098226,8532.19467072494,8748.50663382317,8532.19467072494,216.311963078742,1.94827373995149E-08
535.7,8744,536.3708,212.96285015896,229.424590882327,8531.03714984104,8760.46174072337,8531.03714984104,229.424590831502,5.08235438109988E-08
535.6,8884,536.2708,354.317596586994,243.767164149769,8529.68240341301,8773.44956756278,8529.68240341301,243.767164019642,1.30127027491225E-07
535.5,8955,536.1708,427.017487717269,259.497301326568,8527.98251228273,8787.4798136093,8527.98251228273,259.497300999562,3.2700746895796E-07
535.4,8892,536.0708,365.892416517965,276.798091907152,8526.10758348204,8802.90567538919,8526.10758348204,276.798091100594,8.06557683914872E-07
535.3,8882,535.9708,357.612030202654,295.882906296027,8524.38796979735,8820.27087609337,8524.38796979735,295.882904343484,1.95254383032297E-06
535.2,8877,535.8708,354.306990694326,317.001152929121,8522.69300930567,8839.6941622348,8522.69300930567,317.001148289806,4.6393137913386E-06
535.1,8906,535.7708,384.989624589489,340.445125045737,8521.01037541051,8861.45550045625,8521.01037541051,340.445114226557,1.08191789069551E-05
535,9002,535.6708,482.743752744402,366.558059222349,8519.2562472556,8885.81430647795,8519.2562472556,366.558034458254,2.47640946092306E-05
534.9,8950,535.5708,432.734551552279,395.743470938789,8517.26544844772,8913.00891938651,8517.26544844772,395.743415305056,5.56337333355539E-05
534.8,8856,535.4708,340.597153756467,428.475716710062,8515.40284624353,8943.87856295359,8515.40284624353,428.475594039161,0.000122670900215035
