#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,C_1
537.9,201.4761513756448,538.5482,201.4761513756448,75.7093207283351,0.0,75.7093207283351,75.7093207283351
537.8,122.60823614475885,538.4481999999999,122.60823614475885,78.50025331954953,0.0,78.50025331954953,78.50025331954953
537.7,258.76366918010626,538.3482,258.76366918010626,81.45036564361004,0.0,81.45036564361004,81.45036564361004
537.6,264.9771264916444,538.2482,264.9771264916444,84.57216207063938,0.0,84.57216207063938,84.57216207063938
537.5,104.12755986379398,538.1482,104.12755986379398,87.87941739066899,0.0,87.87941739066899,87.87941739066899
537.4,142.22796523321358,538.0482,142.22796523321358,91.38733734854976,0.0,91.38733734854976,91.38733734854976
537.3,226.37819542478974,537.9481999999999,226.37819542478974,95.11274375277172,0.0,95.11274375277172,95.11274375277172
537.2,214.55790461538982,537.8482,214.55790461538982,99.07428862964898,0.0,99.07428862964898,99.07428862964898
537.1,314.77364050892265,537.7482,314.77364050892265,103.29270284747751,0.0,103.29270284747751,103.29270284747751
537.0,143.96060356251473,537.6482,143.96060356251473,107.79108582327785,0.0,107.79108582327785,107.79108582327785
536.9,116.06658099295237,537.5482,116.06658099295237,112.59524441396144,0.0,112.59524441396144,112.59524441396144
536.8,112.15959751350601,537.4481999999999,112.15959751350601,117.7340909701817,0.0,117.7340909701817,117.7340909701817
536.7,97.24494303292522,537.3482,97.24494303292522,123.24011290942056,0.0,123.24011290942056,123.24011290942056
536.6,182.35889918250723,537.2482,182.35889918250723,129.14992919514705,0.0,129.14992919514705,129.14992919514705
536.5,385.59037422892834,537.1482,385.59037422892834,135.50495298970415,0.0,135.50495298970415,135.50495298970415
536.4,200.82937715670596,537.0482,200.82937715670596,142.35218474168377,0.0,142.35218474168377,142.35218474168377
536.3,283.0265788877923,536.9481999999999,283.0265788877923,149.74516641431504,0.0,149.74516641431504,149.74516641431504
536.2,202.22434915769554,536.8482,202.22434915769554,157.74513590067662,0.0,157.74513590067662,157.74513590067662
536.1,129.3594904251495,536.7482,129.3594904251495,166.42243145955766,0.0,166.42243145955766,166.42243145955766
536.0,129.46497767299024,536.6482,129.46497767299024,175.85820992228838,0.0,175.85820992228838,175.85820992228838
535.9,194.59705333041165,536.5482,194.59705333041165,186.14656025635733,0.0,186.14656025635733,186.14656025635733
535.8,174.74758449787078,536.4481999999999,174.74758449787078,197.39711666813258,0.0,197.39711666813258,197.39711666813258
535.7,307.94431180140145,536.3482,307.94431180140145,209.7383035464916,0.0,209.7383035464916,209.7383035464916
535.6,279.1836033504451,536.2482,279.1836033504451,223.3213786085981,0.0,223.3213786085981,223.3213786085981
535.5,298.4190127410893,536.1482,298.4190127410893,238.32548023130275,0.0,238.32548023130275,238.32548023130275
535.4,297.6619532213808,536.0482,297.6619532213808,254.96392825535924,0.0,254.96392825535924,254.96392825535924
535.3,275.8957140409948,535.9481999999999,275.8957140409948,273.49207011130045,0.0,273.49207011130045,273.49207011130045
535.2,478.20305671425103,535.8482,478.20305671425103,294.21699760216876,0.0,294.21699760216876,294.21699760216876
535.1,400.5612084164968,535.7482,400.5612084164968,317.5094702001195,0.0,317.5094702001195,317.5094702001195
535.0,415.893965245441,535.6482,415.893965245441,343.81834716610405,0.0,343.81834716610405,343.81834716610405
534.9,396.2249547783258,535.5482,396.2249547783258,373.6877236645747,0.0,373.6877236645747,373.6877236645747
534.8,357.5321582045517,535.4481999999999,357.5321582045517,407.77674742699236,0.0,407.77674742699236,407.77674742699236
534.7,442.8583676792423,535.3482,442.8583676792423,446.8817185611719,0.0,446.8817185611719,446.8817185611719
534.6,374.19136682912085,535.2482,374.19136682912085,491.9595019814743,0.0,491.9595019814743,491.9595019814743
534.5,539.5637795159864,535.1482,539.5637795159864,544.1504766301757,0.0,544.1504766301757,544.1504766301757
534.4,570.0160030572433,535.0482,570.0160030572433,604.7982020259356,0.0,604.7982020259356,604.7982020259356
534.3,486.4465779984175,534.9481999999999,486.4465779984175,675.4617419629666,0.0,675.4617419629666,675.4617419629666
534.2,656.9125687549131,534.8482,656.9125687549131,757.9152582389833,0.0,757.9152582389833,757.9152582389833
534.1,696.4641548816917,534.7482,696.4641548816917,854.1282729265089,0.0,854.1282729265089,854.1282729265089
534.0,874.1042602816397,534.6482,874.1042602816397,966.2191894454054,0.0,966.2191894454054,966.2191894454054
533.9,1033.881884626172,534.5482,1033.881884626172,1096.3746345450468,0.0,1096.3746345450468,1096.3746345450468
533.8,1260.8171187803573,534.4481999999999,1260.8171187803573,1246.7283460436809,0.0,1246.7283460436809,1246.7283460436809
533.7,1504.9443405097518,534.3482,1504.9443405097518,1419.196055101716,0.0,1419.196055101716,1419.196055101716
533.6,1475.158920002792,534.2482,1475.158920002792,1615.267319638724,0.0,1615.267319638724,1615.267319638724
533.5,1883.527796062539,534.1482,1883.527796062539,1835.7615106251885,0.0,1835.7615106251885,1835.7615106251885
533.4,1968.0975756246517,534.0482,1968.0975756246517,2080.5627100526426,0.0,2080.5627100526426,2080.5627100526426
533.3,2328.8488515224644,533.9481999999999,2328.8488515224644,2348.3562831975073,0.0,2348.3562831975073,2348.3562831975073
533.2,2750.9191764531333,533.8482,2750.9191764531333,2636.397057848934,0.0,2636.397057848934,2636.397057848934
533.1,2971.2513207897955,533.7482,2971.2513207897955,2940.3438208641987,0.0,2940.3438208641987,2940.3438208641987
533.0,3229.7786304687497,533.6482,3229.7786304687497,3254.195645461853,0.0,3254.195645461853,3254.195645461853
