#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1,C_2,C_3
536.6,282.053007973318,537.2539,125.91190107717796,3.818355407233099,156.14110689614006,159.95946230337316,156.14110689614006,1.014810677547937,2.803544729685184,7.357979788906255e-46
536.5,108.36531002573611,537.1539,-47.7757962915679,4.27373525231863,156.141106317304,160.41484156962264,156.141106317304,1.3932841945125407,2.880451057806087,1.6088790660671243e-44
536.4,49.4915823577503,537.0539,-106.64952417918275,4.860919214014416,156.14110653693305,161.00202575094747,156.14110653693305,1.900351024819466,2.9605681891949662,3.3684386649465857e-43
536.3,29.554812873127958,536.9539,-126.58629415408441,5.619019118773167,156.14110702721237,161.76012614598554,156.14110702721237,2.5749416073493068,3.044077511423854,6.75265123010849e-42
536.2,64.63015298084974,536.8539000000001,-91.51095462829389,6.597267736187575,156.14110760914363,162.7383753453312,156.14110760914363,3.466094321957597,3.131173414229963,1.2961654094728219e-40
536.1,134.78967218836078,536.7539,-21.351435841468145,7.857097157262302,156.14110802982893,163.99820518709123,156.14110802982893,4.635032732177262,3.22206442508505,2.3822479832878248e-39
536.0,295.1335748851543,536.6539,138.99246675717256,9.474478007156847,156.14110812798174,165.61558613513859,156.14110812798174,6.1575035448832445,3.3169744622736066,4.19231532987082e-38
535.9,205.53406719041777,536.5539,49.392959701405175,11.542502617714547,156.1411074890126,167.68361010672714,156.1411074890126,8.126358398115281,3.416144219599248,7.064173333023288e-37
535.8,131.80390940216967,536.4539,-24.337197859774477,14.17417658795489,156.14110726194414,170.31528384989903,156.14110726194414,10.65434388918095,3.5198326987739343,1.1397489093813286e-35
535.7,251.11020872129848,536.3539000000001,94.9691013474756,17.505360344060108,156.14110737382288,173.64646771788298,156.14110737382288,13.877041436273936,3.628318907786164,1.7607490235792517e-34
535.6,215.48344468096548,536.2539,59.34233774373055,21.697775560419814,156.14110693723492,177.83888249765474,156.14110693723492,17.955871814283114,3.7419037461366944,2.6045107825430994e-33
535.5,170.79243312710787,536.1539,14.651326462680004,26.941961162900554,156.14110666442787,183.08306782732842,156.14110666442787,23.081049062065304,3.8609121008352596,3.688886523674017e-32
535.4,119.02426228217155,536.0539,-37.11684431489971,33.460031074782705,156.14110659707126,189.60113767185396,156.14110659707126,29.47433589422992,3.985695180552783,5.002704658340747e-31
535.3,182.26526874768388,535.9539,26.124161979984137,41.508052334783116,156.14110676769974,197.64915910248286,156.14110676769974,37.39141921538852,4.116633119394594,6.496132367847679e-30
535.2,379.71480587904625,535.8539000000001,223.57369923144526,51.37782967450539,156.141106647601,207.51893632210638,156.141106647601,47.12369178798188,4.254137886523527,8.076911038980724e-29
535.1,230.2026889435365,535.7539,74.06158332373565,63.39785354696269,156.14110561980084,219.53895916676353,156.14110561980084,58.99919700352469,4.398656543437989,9.615595064211073e-28
535.0,390.6993587330362,535.6539,234.55825345370872,77.93314584810796,156.1411052793275,234.07425112743545,156.1411052793275,73.38247095085391,4.550674897254056,1.096093152934495e-26
534.9,229.19522263361068,535.5539,73.05411843258076,95.38372440098826,156.14110420102992,251.52482860201818,156.14110420102992,90.67300279493423,4.710721606054016,1.1963525960562073e-25
534.8,169.51415684278618,535.4539,13.37305297759815,116.18140706517312,156.14110386518803,272.32251093036115,156.14110386518803,111.3020342637151,4.879372801458036,1.2502917353832727e-24
534.7,136.759149912672,535.3539000000001,-19.381953891035806,140.7846924108289,156.1411038037078,296.9257962145367,156.1411038037078,135.72743510647743,5.057257304351457,1.2511343766798904e-23
534.6,244.06377645295834,535.2539,87.92267256015165,169.6714892163316,156.14110389280668,325.8125931091383,156.14110389280668,164.42642669383932,5.245062522492292,1.1987730927489566e-22
534.5,306.5041848465862,535.1539,150.36308135797412,203.3295238877185,156.1411034886121,359.4706273763306,156.1411034886121,197.88598275376435,5.443541133954147,1.0997917263181263e-21
534.4,222.9276861329272,535.0539,66.78658333555643,242.24433451157785,156.14110279737076,398.3854373089486,156.14110279737076,236.59081583300872,5.6535186785691485,9.661050284897742e-21
