#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C-O
532.3,12735,532.9485,4796.80852623992,4786.65379789912,7938.19147376008,12724.8452716592,7938.19147376008,4786.65379789912
532.2,12807,532.8485,4873.99499449378,4851.82440368209,7933.00500550622,12784.8294091883,7933.00500550622,4851.82440368209
532.1,12822,532.7485,4894.25810935424,4859.29360732851,7927.74189064576,12787.0354979743,7927.74189064576,4859.29360732851
532,12624,532.6485,4701.53719225774,4808.77707618351,7922.46280774226,12731.2398839258,7922.46280774226,4808.77707618351
531.9,12544,532.5485,4626.60549699308,4702.19139933161,7917.39450300692,12619.5859023385,7917.39450300692,4702.19139933161
531.8,12428,532.4485,4515.58863883219,4543.53030900485,7912.41136116781,12455.9416701727,7912.41136116781,4543.53030900485
531.7,12182,532.3485,4274.44829447178,4338.61000390713,7907.55170552822,12246.1617094353,7907.55170552822,4338.61000390713
531.6,11909,532.2485,4006.04607420548,4094.70654011173,7902.95392579452,11997.6604659063,7902.95392579452,4094.70654011173
531.5,11663,532.1485,3764.3532355558,3820.11723865801,7898.6467644442,11718.7640031022,7898.6467644442,3820.11723865801
531.4,11479,532.0485,3584.39852100023,3523.68340655319,7894.60147899977,11418.284885553,7894.60147899977,3523.68340655319
531.3,11242,531.9485,3351.24793178334,3214.31292677473,7890.75206821666,11105.0649949914,7890.75206821666,3214.31292677473
531.2,10875,531.8485,2987.84504748638,2900.53853795783,7887.15495251362,10787.6934904714,7887.15495251362,2900.53853795783
531.1,10403,531.7485,2519.05147840299,2590.14149294071,7883.94852159701,10474.0900145377,7883.94852159701,2590.14149294071
531,10279,531.6485,2397.75544823186,2289.86173730953,7881.24455176814,10171.1062890777,7881.24455176814,2289.86173730953
530.9,9998,531.5485,2119.32741557158,2005.20597922041,7878.67258442842,9883.87856364883,7878.67258442842,2005.20597922041
530.8,9588,531.4485,1711.60024823831,1740.35525408027,7876.39975176169,9616.75500584196,7876.39975176169,1740.35525408027
530.7,9348,531.3485,1473.43662106189,1498.16490464396,7874.56337893811,9372.72828358207,7874.56337893811,1498.16490464396
530.6,9219,531.2485,1346.01750519678,1280.24310999232,7872.98249480322,9153.22560479554,7872.98249480322,1280.24310999232
530.5,8928,531.1485,1056.46106416151,1087.08967238049,7871.53893583849,8958.62860821898,7871.53893583849,1087.08967238049
530.4,8717,531.0485,846.594843091224,918.274818779481,7870.40515690878,8788.67997568826,7870.40515690878,918.274818779481
530.3,8471,530.9485,601.504004882139,772.638088329612,7869.49599511786,8642.13408344747,7869.49599511786,772.638088329612
530.2,8533,530.8485,664.15129076716,648.489516964589,7868.84870923284,8517.33822619743,7868.84870923284,648.489516964589
530.1,8425,530.7485,556.864577896755,543.798720359933,7868.13542210325,8411.93414246318,7868.13542210325,543.798720359934
530,8363,530.6485,495.462895116446,456.361506182703,7867.53710488355,8323.89861106626,7867.53710488355,456.361506182703
529.9,8284,530.5485,416.995211091562,383.937758145854,7867.00478890844,8250.94254705429,7867.00478890844,383.937758145855
529.8,8203,530.4485,336.443428706654,324.358081797707,7866.55657129335,8190.91465309105,7866.55657129335,324.358081797707
529.7,8041,530.3485,174.805418889318,275.599783573412,7866.19458111068,8141.79436468409,7866.19458111068,275.599783573413
529.6,7997,530.2485,130.994954207125,235.835017234969,7866.00504579288,8101.84006302784,7866.00504579288,235.835017234969
529.5,8171,530.1485,305.137649932009,203.455353673701,7865.86235006799,8069.31770374169,7865.86235006799,203.455353673702
529.4,7961,530.0485,95.4655749561825,177.077689995584,7865.53442504382,8042.6121150394,7865.53442504382,177.077689995584
529.3,7992,529.9485,126.569947377763,155.536454853539,7865.43005262224,8020.96650747578,7865.43005262224,155.536454853539
529.2,8002,529.8485,136.707320421632,137.866660991761,7865.29267957837,8003.15934057013,7865.29267957837,137.86666099176
529.1,8047,529.7485,181.85533882753,123.281674428546,7865.14466117247,7988.42633560102,7865.14466117247,123.281674428547
529,7930,529.6485,65.0512613625533,111.148763046177,7864.94873863745,7976.09750168362,7864.94873863745,111.148763046177
528.9,7964,529.5485,99.1226331618464,100.964673208044,7864.87736683815,7965.8420400462,7864.87736683815,100.964673208044
528.8,7886,529.4485,21.2301991920367,92.3327424369072,7864.76980080796,7957.10254324487,7864.76980080796,92.3327424369074
528.7,7992,529.3485,127.254731398406,84.9424358155202,7864.74526860159,7949.68770441711,7864.74526860159,84.9424358155197
528.6,7991,529.2485,126.392104442274,78.5517117900999,7864.60789555773,7943.15960734783,7864.60789555773,78.5517117900995
528.5,7972,529.1485,107.528412949941,72.9722767479798,7864.47158705006,7937.44386379804,7864.47158705006,72.9722767479796
528.4,7961,529.0485,96.644495269753,68.0575611113491,7864.35550473025,7932.4130658416,7864.35550473025,68.0575611113488
528.3,7876,528.9485,11.7488676913335,63.6931200786903,7864.25113230867,7927.94425238736,7864.25113230867,63.6931200786899
528.2,7809,528.8485,-55.2372454643246,59.7891052630985,7864.23724546433,7924.02635072742,7864.23724546433,59.7891052630985
528.1,7868,528.7485,3.70531745442713,56.2744467754592,7864.29468254557,7920.56912932103,7864.29468254557,56.2744467754588
528,7964,528.6485,99.710688009146,53.0924098496362,7864.28931199085,7917.38172184049,7864.28931199085,53.0924098496365
527.9,7917,528.5485,52.8182540393354,50.1972312940598,7864.18174596067,7914.37897725472,7864.18174596067,50.1972312940597
527.8,7834,528.4485,-30.1242131320078,47.5515884831475,7864.12421313201,7911.67580161516,7864.12421313201,47.5515884831478
527.7,7890,528.3485,25.8449631918156,45.1247005190862,7864.15503680818,7909.27973732727,7864.15503680818,45.1247005190863
527.6,7921,528.2485,56.8737535429964,42.8909037158155,7864.126246457,7907.01715017282,7864.126246457,42.8909037158154
527.5,7970,528.1485,105.935544516465,40.8285798767247,7864.06445548354,7904.89303536026,7864.06445548354,40.828579876725
527.4,8051,528.0485,187.049497763871,38.9193455282402,7863.95050223613,7902.86984776437,7863.95050223613,38.9193455282406
527.3,8051,527.9485,187.249678443706,37.1474337283889,7863.75032155629,7900.89775528468,7863.75032155629,37.1474337283893
527.2,7970,527.8485,106.449859123542,35.499218102309,7863.55014087646,7899.04935897877,7863.55014087646,35.4992181023091
527.1,7896,527.7485,32.5638123709477,33.9628423189615,7863.43618762905,7897.39902994801,7863.43618762905,33.9628423189612
